branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-0,8,1099,22.93,0,200,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-1,10,788,41.10,0,167,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-10,6,396,45.47,0,123,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-11,5,304,47.44,0,121,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-12,4,261,41.33,0,146,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-13,4,214,50.36,0,84,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-14,4,113,95.36,0,54,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-15,4,88,122.52,0,35,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-2,5,258,55.87,0,80,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-20,2,84,42.63,0,84,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-21,2,57,63.42,0,57,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-22,3,0,42650.49,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-24,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-25,4,368,29.39,0,163,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-26,4,92,117.58,0,92,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-27,8,1,49707.87,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-28,10,1,49083.47,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-29,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-3,8,502,50.19,0,88,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-30,3,0,40280.40,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-31,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-32,3,0,39679.04,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-33,3,0,46290.64,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-34,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-35,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-36,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-37,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-38,5,0,44548.53,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-39,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-4,4,143,75.39,0,52,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-40,3,0,42275.85,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-41,3,0,41193.23,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-42,3,0,47238.83,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-43,3,0,47394.61,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-44,5,0,39821.91,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-45,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-46,2,48,75.36,0,48,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-47,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-48,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-49,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-5,7,703,30.72,0,158,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-50,2,119,30.15,0,119,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-51,5,454,31.72,0,150,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-52,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-10-07-30-51-conv2d_py/worker-0-brief-53,3,318,22.64,0,204,+0.00
