branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-0,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-1,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-11,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-12,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-14,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-20,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-21,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-22,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-24,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-25,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-26,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-27,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-28,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-29,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-30,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-31,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-32,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-33,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-34,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-35,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-36,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-37,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-38,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-39,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-15-05-53-17-qr_v2/worker-0-brief-4,0,0,0.00,0,0,+0.00
