branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-0,7,4589,4.71,4,1421,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-1,8,7906,3.19,5,2454,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-11,5,3421,4.21,2,1499,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-12,5,1577,9.13,1,684,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-14,5,4156,3.46,3,1607,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-15,2,1367,2.63,1,1367,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-17,4,4169,2.59,2,2493,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-19,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-21,2,600,6.00,1,600,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-22,3,1350,5.33,1,1167,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-23,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-26,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-27,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-28,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-29,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-3,4,3896,2.77,2,2685,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-30,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-31,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-32,2,517,6.97,0,517,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-33,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-34,2,2636,1.37,1,2636,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-0-brief-35,0,0,0.00,0,0,+0.00
