branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-07-06-18-24-02/brief-0,22,15656,4.83,14,1397,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-1,52,52604,3.49,47,2009,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-10,2,1109,3.25,1,1109,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-11,5,4354,3.31,4,1284,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-12,4,3022,3.57,3,1340,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-13,4,2945,3.67,3,989,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-14,2,1794,2.01,1,1794,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-15,4,2388,4.52,2,973,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-17,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-2,28,21394,4.54,18,1506,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-3,20,18633,3.67,18,1406,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-4,9,8325,3.46,8,1318,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-5,13,11027,3.92,12,1196,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-6,10,6060,5.35,4,1124,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-7,11,8540,4.22,9,1287,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-8,8,6485,3.89,6,1114,+0.00
autocuda/optimize/2026-07-06-18-24-02/brief-9,6,5447,3.30,5,1272,+0.00
