branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-0,14,4001,11.70,0,452,+11.74
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-1,30,5502,18.98,0,409,+5.59
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-10,56,15042,13.16,0,568,+103.17
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-11,31,7431,14.53,0,475,+66.94
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-12,14,2887,16.21,0,338,+66.74
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-13,5,800,18.00,0,243,+84.15
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-14,14,3301,14.18,0,406,+90.76
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-15,11,3597,10.01,0,500,+103.38
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-16,17,5298,10.87,1,905,+103.64
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-17,13,3822,11.30,0,417,+109.24
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-18,12,3609,10.97,0,476,+104.88
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-19,9,2133,13.50,0,308,+109.63
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-2,22,3909,19.34,0,332,+34.81
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-20,5,1305,11.03,0,429,+115.26
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-21,2,430,8.38,0,430,+115.59
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-22,30,10202,10.23,1,1070,+127.69
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-23,15,4924,10.24,0,449,+112.55
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-24,30,10571,9.88,2,628,+117.62
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-25,48,18111,9.34,0,557,+116.40
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-26,11,3105,11.59,0,439,+117.33
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-27,6,1534,11.73,0,331,+124.19
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-28,15,4932,10.22,0,559,+125.98
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-29,27,12172,7.69,1,828,+129.55
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-3,27,3963,23.62,0,210,+30.73
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-30,10,2794,11.60,0,395,+130.79
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-31,7,3243,6.66,2,671,+127.97
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-32,11,4433,8.12,0,536,+128.46
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-33,11,3360,10.71,0,421,+131.69
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-34,7,2295,9.41,0,457,+133.00
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-35,1,0,0.00,0,0,+131.57
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-36,13,5613,7.70,1,1448,+132.32
autocuda/optimize/2026-07-19-01-44-06-cholesky-resumed-local-unmerged/brief-37,1,0,0.00,0,0,+130.41
